tax_period,tax_year,number_of_organizations,avg_program_expense_ratio,avg_administrative_expense_ratio,avg_fundraising_expense_ratio,avg_operating_margin,avg_asset_coverage_ratio
202009,2020,46,93.84%,0.05153356669,0.01003015594,0.07894228188,27.46653325
202010,2020,8,97.47%,0.02533405144,0,0.0925727488,2.157302911
202011,2020,5,99.71%,0.002853111013,0,-0.7098846937,18.64284508
202012,2020,469,95.72%,0.04240728095,0.000356012126,-0.3850068531,76.06681029
202101,2021,2,90.33%,0.09670032548,0,-0.188782323,1.886073116
202102,2021,5,98.55%,0.01448821088,0,-0.1670708768,2.068387147
202103,2021,24,97.95%,0.02047103413,0,-0.6133611397,12.13416955
202104,2021,28,97.55%,0.02450374035,0,-0.1739156445,5.269410525
202105,2021,27,96.94%,0.03061949764,0,-0.02131552768,6.407329626
202106,2021,271,95.13%,0.04777266371,0.0008876051883,-0.04257926131,17.25977375
202107,2021,29,95.60%,0.04401675808,0,0.03719148848,10.00905622
202108,2021,56,93.76%,0.06239985915,0.0000441624728,0.1075689776,35.55028899
202109,2021,85,96.11%,0.03892772805,0,0.04511386037,8.798366673
202110,2021,20,99.47%,0.005281093849,0,-0.6681660412,4.196373559
202111,2021,11,99.82%,0.001807490308,0,0.3325042979,10.83296187
202112,2021,1587,95.46%,0.04372776582,0.001707708329,-0.319900232,34.8843881
202201,2022,11,97.01%,0.02989470304,0,0.1629459677,8.820513925
202202,2022,22,96.34%,0.0325042099,0.004049839533,-0.1333599807,8.322901359
202203,2022,69,98.07%,0.01930179724,0.00001006520555,0.00531131852,17.3279695
202204,2022,72,97.36%,0.02626007509,0.0001124753355,-0.03369213184,26.31295881
202205,2022,123,95.91%,0.03813366312,0.002757838128,-0.8289384619,3.802979998
202206,2022,1155,96.27%,0.03554513755,0.001776370887,-3.554351459,15.40489339
202207,2022,87,96.99%,0.02515226817,0.004994466371,-8.826728789,2.722872808
202208,2022,179,95.75%,0.04086968489,0.001607886264,-0.2903143168,7.508001225
202209,2022,325,95.12%,0.04879109871,0.00003817549807,-0.2368180227,13.63238118
202210,2022,52,97.47%,0.02532281962,0,0.02610785443,3.833108831
202211,2022,41,98.35%,0.01649089634,0,-0.1023521573,9.765776917
